Entity,Code,Day,Pfizer/BioNTech,Moderna,Oxford/AstraZeneca,Johnson&Johnson,Sputnik V,Sinovac,Sinopharm/Beijing,CanSino,Novavax,Covaxin,Medicago,Sanofi/GSK,SKYCovione,Valneva
Argentina,ARG,2021-08-31,74,2101184,14838289,0,13183189,0,13970996,19,0,0,0,0,0,0
Argentina,ARG,2021-09-01,74,2174225,14949179,0,13303655,0,14122891,19,0,0,0,0,0,0
Argentina,ARG,2021-09-02,74,2237685,15029901,0,13410433,0,14320462,19,0,0,0,0,0,0
Argentina,ARG,2021-09-03,74,2299975,15111168,0,13503771,0,14518650,19,0,0,0,0,0,0
Argentina,ARG,2021-09-04,74,2336461,15170091,0,13572065,0,14651264,19,0,0,0,0,0,0
Argentina,ARG,2021-09-05,74,2353922,15231323,0,13613841,0,14727752,19,0,0,0,0,0,0
Argentina,ARG,2021-09-06,74,2406918,15394624,0,13693492,0,14873896,19,0,0,0,0,0,0
Argentina,ARG,2021-09-07,74,2457502,15579266,0,13777248,0,15019008,67,0,0,0,0,0,0
Argentina,ARG,2021-09-08,75,2497386,15720575,0,13852561,0,15136649,107,0,0,0,0,0,0
Argentina,ARG,2021-09-09,76,2531445,15858809,0,13945168,0,15269971,114,0,0,0,0,0,0
Argentina,ARG,2021-09-10,76,2565949,15950079,0,14018233,0,15414148,118,0,0,0,0,0,0
Argentina,ARG,2021-09-11,77,2578036,16071706,0,14048137,0,15449160,393,0,0,0,0,0,0
Argentina,ARG,2021-09-12,79,2578957,16075954,0,14049040,0,15452532,766,0,0,0,0,0,0
Argentina,ARG,2021-09-13,80,2603590,16242856,0,14087310,0,15511509,14923,0,0,0,0,0,0
Argentina,ARG,2021-09-14,214,2651044,16368731,0,14132037,0,15572057,16123,0,0,0,0,0,0
Argentina,ARG,2021-09-15,283,2690266,16415143,0,14321484,0,15626472,17253,0,0,0,0,0,0
Argentina,ARG,2021-09-16,4956,2720402,16595205,0,14417242,0,15676107,18579,0,0,0,0,0,0
Argentina,ARG,2021-09-17,10115,2741283,16708565,0,14540087,0,15769129,27168,0,0,0,0,0,0
Argentina,ARG,2021-09-18,18498,2755285,16735758,0,14666841,0,15813809,27641,0,0,0,0,0,0
Argentina,ARG,2021-09-19,19498,2774088,16805781,0,14683040,0,15845532,27685,0,0,0,0,0,0
Argentina,ARG,2021-09-20,21908,2793996,16856624,0,14899425,0,15899858,30181,0,0,0,0,0,0
Argentina,ARG,2021-09-21,23193,2804669,16892863,0,15088716,0,15969632,32678,0,0,0,0,0,0
Argentina,ARG,2021-09-22,26357,2833392,17050075,0,15144453,0,16050444,35967,0,0,0,0,0,0
Argentina,ARG,2021-09-23,103889,2913155,17086792,0,15186025,0,16123117,39843,0,0,0,0,0,0
Argentina,ARG,2021-09-24,128946,2933556,17211686,0,15219077,0,16176944,44134,0,0,0,0,0,0
Argentina,ARG,2021-09-25,135450,2941165,17235544,0,15239393,0,16244465,46653,0,0,0,0,0,0
Argentina,ARG,2021-09-26,136782,2946079,17275961,0,15245768,0,16278886,47273,0,0,0,0,0,0
Argentina,ARG,2021-09-27,144155,2969452,17380488,0,15283860,0,16382705,52906,0,0,0,0,0,0
